[2024-12-05T07:09:32.551+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.551+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.552+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.552+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.552+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.552+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.552+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.553+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.553+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.553+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.553+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.554+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.554+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.554+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.555+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.555+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.556+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.556+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.558+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.558+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.559+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.561+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.561+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.561+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.562+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.562+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.562+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.562+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.563+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.563+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.563+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.563+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.563+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.564+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.564+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.564+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.564+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.564+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.565+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.565+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.565+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
